"Name","Cat","Lic","Type","PromptChars","Videos","CF","Mux","HLS","Framer","GSAP","Three","Shadcn","Lucide","Vite","Next","React","TW","TS","Auto","Loop","Mute","Scroll","Mouse","Marquee","Glass","D3","Fonts"
"Aethera_Studio","Hero Section","Free","hero","3170","1","1","0","False","False","False","False","False","False","True","False","True","True","True","False","True","False","False","False","False","True","False","Inter,Instrument Serif"
"AI_Automation_Hero","AI / SaaS","Premium","hero","2694","1","0","2","True","True","False","False","False","True","False","False","True","False","False","True","True","True","False","False","False","False","False",""
"AI_Designer_Agency","Landing Page","Premium","landing-page","7395","2","1","2","True","True","False","False","False","False","False","False","True","True","False","True","True","True","True","False","False","True","True","Instrument Serif,Barlow"
"AI_Designer_Portfolio","Landing Page","Free","landing-page","3589","0","0","0","False","False","False","False","False","True","True","False","True","True","True","False","True","True","True","True","True","False","False","Inter"
"AKOR_Security","Landing Page","Premium","landing-page","5452","2","6","0","False","False","False","False","False","False","False","False","True","True","False","True","True","True","False","False","False","False","False",""
"Apex_SaaS","SaaS","Premium","hero","5288","1","1","0","False","False","False","False","False","True","False","False","True","True","True","True","True","True","False","False","True","True","True","Inter,Geist"
"Asme","Hero Section","Premium","hero","4361","1","1","0","False","False","False","False","False","True","True","False","True","True","True","True","True","True","False","False","False","True","True","Inter,Instrument Serif"
"Automation_Machines","Hero Section","Premium","hero","7407","0","0","0","False","True","False","False","False","True","True","False","True","True","False","False","False","True","True","True","False","False","True","Inter,Instrument Serif,Space Grotesk"
"Bionova_Biotech","SaaS","Premium","hero","3903","3","0","6","True","False","False","False","False","False","False","False","False","False","False","True","True","True","True","False","False","True","False","Poppins"
"Bloom_AI","Hero Section","Free","hero","3901","1","1","0","False","False","False","False","False","True","False","False","True","False","False","True","True","True","False","False","False","True","True","Inter,Poppins"
"Bold_Portfolio_Hero","Portfolio","Premium","hero","2872","0","0","0","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","Inter"
"Buzzentic_Agency","Agency","Premium","hero","2081","1","1","0","False","False","False","False","False","False","False","False","True","True","False","True","True","True","False","False","False","True","False","Inter,Instrument Serif,Barlow"
"ClearInvoice_SaaS_Hero","SaaS","Premium","hero","2079","1","0","3","True","True","False","False","False","True","True","False","True","True","False","True","True","True","False","False","False","True","False","Geist"
